stock,current price,price change,open price,close price,timestamp
AAPL,176.82,0.61,175.21,176.21 (03/02/18),2018-03-06 08:55:45
NKE,65.05,-0.84,65.48,65.89 (03/02/18),2018-03-06 08:55:49
NFLX,315.00,13.95,302.85,301.05 (03/02/18),2018-03-06 08:55:52
AMZN,"1,523.61",23.36,"1,494.24","1,500.25 (03/02/18)",2018-03-06 08:55:54
MSFT,93.64,0.59,92.34,93.05 (03/02/18),2018-03-06 08:55:57
stock,current price,price change,open price,close price,timestamp
AAPL,176.82,0.61,175.21,176.20999999999998,2018-03-06 09:06:04
NKE,65.05,-0.84,65.48,65.89,2018-03-06 09:06:07
NFLX,315.00,13.95,302.85,301.05,2018-03-06 09:06:11
AMZN,"1,523.61",23.36,"1,494.24",1500.25,2018-03-06 09:06:19
MSFT,93.64,0.59,92.34,93.05,2018-03-06 09:06:27
